doubling every day ;doubling every two days;doubling every 4 days;doubling every 10 days;Italy;US;India;Germany;China;date
100.0;100.0;100.0;100.0;155.0;104.0;102.0;130.0;548.0;0
200.0;141.4213562373095;118.9207115002721;107.17734625362931;229.0;174.0;113.0;159.0;643.0;1
400.0;200.0;141.4213562373095;114.86983549970351;322.0;222.0;119.0;196.0;920.0;2
800.0;282.842712474619;168.1792830507429;123.11444133449163;453.0;337.0;142.0;262.0;1406.0;3
1600.0;400.0;200.0;131.9507910772894;655.0;451.0;156.0;482.0;2075.0;4
3200.0;565.685424949238;237.8414230005442;141.4213562373095;888.0;519.0;194.0;670.0;2877.0;5
6400.0;800.0;282.842712474619;151.5716566510398;1128.0;711.0;244.0;799.0;5509.0;6
12800.0;1131.370849898476;336.3585661014858;162.4504792712471;1694.0;1109.0;330.0;1040.0;6087.0;7
25600.0;1600.0;400.0;174.11011265922482;2036.0;1561.0;396.0;1176.0;8141.0;8
51200.0;2262.741699796952;475.6828460010884;186.60659830736148;2502.0;2157.0;499.0;1457.0;9802.0;9
102400.0;3200.0;565.685424949238;200.0;3089.0;2870.0;536.0;1908.0;11891.0;10
204800.0;4525.483399593904;672.7171322029716;214.35469250725862;3858.0;2968.0;657.0;2078.0;16630.0;11
409600.0;6400.0;800.0;229.73967099940697;4636.0;4360.0;727.0;3675.0;19716.0;12
819200.0;9050.966799187809;951.3656920021768;246.22888266898326;5883.0;6141.0;887.0;4585.0;23707.0;13
1638400.0;12800.0;1131.370849898476;263.9015821545788;7375.0;8917.0;987.0;5795.0;27440.0;14
3276800.0;18101.933598375617;1345.4342644059432;282.842712474619;9172.0;14157.0;1024.0;7272.0;30587.0;15
6553600.0;25600.0;1600.0;303.14331330207966;10149.0;19479.0;1251.0;9257.0;34110.0;16
13107200.0;36203.867196751235;1902.7313840043537;324.9009585424942;12462.0;25825.0;1397.0;12327.0;36814.0;17
26214400.0;51200.0;2262.741699796952;348.22022531844965;15113.0;33761.0;1998.0;15320.0;39829.0;18
52428800.0;72407.73439350247;2690.8685288118863;373.21319661472296;17660.0;43850.0;2543.0;19848.0;42354.0;19
104857600.0;102400.0;3200.0;400.0;21157.0;54112.0;2567.0;22213.0;44386.0;20
209715200.0;144815.46878700494;3805.4627680087074;428.70938501451724;24747.0;66055.0;3082.0;24873.0;44759.0;21
419430400.0;204800.0;4525.483399593904;459.47934199881405;27980.0;84091.0;3588.0;29056.0;59895.0;22
838860800.0;289630.9375740099;5381.737057623773;492.4577653379664;31506.0;102276.0;4778.0;32986.0;66358.0;23
1677721600.0;409600.0;6400.0;527.8031643091576;35713.0;122069.0;5311.0;37323.0;68413.0;24
3355443200.0;579261.8751480198;7610.925536017415;565.685424949238;41035.0;141205.0;5916.0;43938.0;70513.0;25
6710886400.0;819200.0;9050.966799187809;606.2866266041593;47021.0;162707.0;6725.0;50871.0;72434.0;26
13421772800.0;1158523.7502960395;10763.474115247545;649.8019170849884;53578.0;188724.0;7598.0;57695.0;74211.0;27
26843545600.0;1638400.0;12800.0;696.4404506368992;59138.0;214205.0;8446.0;62095.0;74619.0;28
53687091200.0;2317047.500592079;15221.85107203483;746.4263932294459;63927.0;244610.0;9205.0;66885.0;75077.0;29
107374182400.0;3276800.0;18101.933598375617;800.0;69176.0;276547.0;10453.0;71808.0;75550.0;30
214748364800.0;4634095.001184158;21526.94823049509;857.4187700290345;74386.0;309699.0;11487.0;77872.0;77001.0;31
429496729600.0;6553600.0;25600.0;918.9586839976281;80589.0;337573.0;12322.0;84794.0;77022.0;32
858993459200.0;9268190.002368316;30443.70214406966;984.9155306759328;86498.0;367215.0;13430.0;91159.0;77241.0;33
;;;;92472.0;397992.0;14352.0;96092.0;77754.0;34
;;;;97689.0;429686.0;15722.0;100123.0;78166.0;35
;;;;101739.0;464442.0;17615.0;103374.0;78600.0;36
;;;;105792.0;497943.0;18539.0;107663.0;78928.0;37
;;;;110574.0;527969.0;20080.0;113296.0;79356.0;38
;;;;115242.0;556522.0;21370.0;118181.0;79932.0;39
;;;;119827.0;581813.0;23077.0;122171.0;80136.0;40
;;;;124632.0;608878.0;24530.0;124908.0;80261.0;41
;;;;128948.0;637974.0;26283.0;127854.0;80386.0;42
;;;;132547.0;669272.0;27890.0;130072.0;80537.0;43
;;;;135586.0;701996.0;29451.0;131359.0;80690.0;44
;;;;139422.0;730337.0;31324.0;134753.0;80770.0;45
;;;;143626.0;756375.0;33062.0;137698.0;80823.0;46
;;;;147577.0;783716.0;34863.0;141397.0;80860.0;47
;;;;152271.0;809318.0;37257.0;143342.0;80887.0;48
;;;;156363.0;837422.0;39699.0;145184.0;80921.0;49
;;;;159516.0;871617.0;42505.0;147065.0;80932.0;50
;;;;162488.0;907908.0;46437.0;148291.0;80945.0;51
;;;;165155.0;940829.0;49400.0;150648.0;80977.0;52
;;;;168941.0;968518.0;52987.0;153129.0;81003.0;53
;;;;172434.0;990983.0;56351.0;154999.0;81033.0;54
;;;;175925.0;1015518.0;59695.0;156513.0;81058.0;55
;;;;178972.0;1043038.0;62808.0;157770.0;81102.0;56
;;;;181228.0;1072667.0;67161.0;158758.0;81156.0;57
;;;;183957.0;1106829.0;70768.0;159912.0;81250.0;58
;;;;187327.0;1136024.0;74292.0;161539.0;81305.0;59
;;;;189973.0;1161611.0;78055.0;163009.0;81435.0;60
;;;;192994.0;1184086.0;81997.0;164077.0;81498.0;61
;;;;195351.0;1208271.0;85784.0;164967.0;81591.0;62
;;;;197675.0;1233527.0;90648.0;165664.0;81661.0;63
;;;;199414.0;1261409.0;95698.0;166152.0;81782.0;64
;;;;201505.0;1288587.0;100328.0;167007.0;81897.0;65
;;;;203591.0;1314320.0;106475.0;168162.0;81999.0;66
;;;;205463.0;1334084.0;112028.0;169430.0;82122.0;67
;;;;207428.0;1352962.0;118226.0;170588.0;82198.0;68
;;;;209328.0;1375152.0;124794.0;171324.0;82279.0;69
;;;;210717.0;1396110.0;131423.0;171879.0;82361.0;70
;;;;211938.0;1423727.0;138536.0;172576.0;82432.0;71
;;;;213013.0;1449027.0;144950.0;173171.0;82511.0;72
;;;;214457.0;1474128.0;150793.0;174098.0;82543.0;73
;;;;215858.0;1493132.0;158086.0;174478.0;82602.0;74
;;;;217185.0;1514901.0;165386.0;175233.0;82665.0;75
;;;;218268.0;1535350.0;173491.0;175752.0;82718.0;76
;;;;219070.0;1559157.0;181827.0;176369.0;82809.0;77
;;;;219814.0;1584512.0;190609.0;176551.0;82883.0;78
;;;;221216.0;1608653.0;198370.0;177778.0;82941.0;79
;;;;222104.0;1630476.0;207191.0;178473.0;83014.0;80
;;;;223096.0;1651289.0;216824.0;179021.0;83134.0;81
;;;;223885.0;1670280.0;226713.0;179710.0;83213.0;82
;;;;224760.0;1689163.0;236184.0;179986.0;83306.0;83
;;;;225435.0;1707445.0;246622.0;180328.0;83356.0;84
;;;;225886.0;1730260.0;257486.0;180600.0;83403.0;85
;;;;226699.0;1754764.0;265928.0;181200.0;83760.0;86
;;;;227364.0;1779214.0;276146.0;181524.0;83787.0;87
;;;;228006.0;1799124.0;286605.0;182196.0;83805.0;88
;;;;228658.0;1816479.0;297535.0;182922.0;83817.0;89
;;;;229327.0;1837374.0;308993.0;183189.0;83853.0;90
;;;;229858.0;1857332.0;320922.0;183410.0;83868.0;91
;;;;230158.0;1878683.0;332424.0;183594.0;83884.0;92
;;;;230555.0;1903907.0;343091.0;183879.0;83899.0;93
;;;;231139.0;1926639.0;354065.0;184121.0;83909.0;94
;;;;231732.0;1944370.0;366946.0;184472.0;83912.0;95
;;;;232248.0;1961785.0;380532.0;184924.0;83918.0;96
;;;;232664.0;1979912.0;395048.0;185450.0;83940.0;97
;;;;232997.0;2000706.0;410451.0;185750.0;83944.0;98
;;;;233197.0;2023656.0;425282.0;186109.0;83956.0;99
;;;;233515.0;2048986.0;440215.0;186506.0;83959.0;100
;;;;233836.0;2074542.0;456183.0;186522.0;83959.0;101
;;;;234013.0;2094366.0;473105.0;186691.0;83964.0;102
;;;;234531.0;2114026.0;490401.0;187226.0;83966.0;103
;;;;234801.0;2137731.0;508953.0;187267.0;83968.0;104
;;;;234998.0;2163290.0;528859.0;187518.0;83970.0;105
;;;;235278.0;2191099.0;548318.0;187682.0;83975.0;106
;;;;235561.0;2222579.0;566840.0;188252.0;83976.0;107
;;;;235763.0;2255328.0;585481.0;188604.0;83990.0;108
;;;;236142.0;2281767.0;604641.0;189817.0;84010.0;109
;;;;236305.0;2312303.0;625544.0;190299.0;84011.0;110
;;;;236651.0;2347491.0;648315.0;190670.0;84018.0;111
;;;;236989.0;2382426.0;673165.0;191272.0;84024.0;112
;;;;237290.0;2422299.0;697413.0;191768.0;84029.0;113
;;;;237500.0;2467554.0;719664.0;192480.0;84038.0;114
;;;;237828.0;2510259.0;742417.0;192871.0;84044.0;115
;;;;238159.0;2549864.0;767296.0;193371.0;84054.0;116
;;;;238011.0;2590668.0;793802.0;194036.0;84063.0;117
;;;;238275.0;2636414.0;820916.0;194458.0;84063.0;118
;;;;238499.0;2687588.0;849522.0;194693.0;84063.0;119
;;;;238720.0;2742049.0;878254.0;195042.0;84063.0;120
;;;;238833.0;2795361.0;906752.0;195418.0;84081.0;121
;;;;239410.0;2841241.0;936181.0;195893.0;84084.0;122
;;;;239706.0;2891124.0;968857.0;196370.0;84095.0;123
;;;;239961.0;2936077.0;1003832.0;196780.0;84102.0;124
;;;;240136.0;2996098.0;1039084.0;197198.0;84103.0;125
;;;;240310.0;3054699.0;1077781.0;197523.0;84106.0;126
;;;;240436.0;3117946.0;1118206.0;198064.0;84106.0;127
;;;;240578.0;3185737.0;1155338.0;198343.0;84123.0;128
;;;;240760.0;3245925.0;1193078.0;198699.0;84128.0;129
;;;;240961.0;3304942.0;1238798.0;199001.0;84146.0;130
;;;;241184.0;3364157.0;1288108.0;199332.0;84154.0;131
;;;;241419.0;3431574.0;1337024.0;199709.0;84161.0;132
;;;;241611.0;3498902.0;1385635.0;199919.0;84160.0;133
;;;;241819.0;3576157.0;1435616.0;200180.0;84171.0;134
;;;;241956.0;3647715.0;1480073.0;200456.0;84177.0;135
;;;;242149.0;3711413.0;1531669.0;200890.0;84186.0;136
;;;;242363.0;3773260.0;1581963.0;201450.0;84191.0;137
;;;;242639.0;3834677.0;1634746.0;202045.0;84195.0;138
;;;;242827.0;3899211.0;1695988.0;202426.0;84198.0;139
;;;;243061.0;3970121.0;1750723.0;202735.0;84209.0;140
;;;;243230.0;4038816.0;1803695.0;203325.0;84216.0;141
;;;;243344.0;4112531.0;1855745.0;203717.0;84228.0;142
;;;;243506.0;4178970.0;1908254.0;204276.0;84286.0;143
;;;;243736.0;4233923.0;;204881.0;84335.0;144
;;;;243967.0;4290337.0;;205623.0;84378.0;145
;;;;244216.0;4356206.0;;206278.0;84422.0;146
;;;;244434.0;4426982.0;;206667.0;84458.0;147
;;;;244624.0;4495015.0;;207112.0;84494.0;148
;;;;244752.0;4562107.0;;207707.0;84494.0;149
;;;;245032.0;4620592.0;;208546.0;84553.0;150
;;;;245338.0;4668172.0;;209535.0;84572.0;151
;;;;245590.0;4713540.0;;210399.0;84624.0;152
;;;;245864.0;4771080.0;;211005.0;84653.0;153
;;;;246118.0;;;211220.0;84673.0;154
;;;;246286.0;;;212111.0;84701.0;155
;;;;246488.0;;;212828.0;84725.0;156
;;;;246776.0;;;;84743.0;157
;;;;247158.0;;;;84757.0;158
;;;;247537.0;;;;84780.0;159
;;;;247832.0;;;;84785.0;160
;;;;248070.0;;;;84816.0;161
;;;;248229.0;;;;84830.0;162
;;;;248419.0;;;;84838.0;163
;;;;;;;;84857.0;164
;;;;;;;;84871.0;165
;;;;;;;;84889.0;166
;;;;;;;;84917.0;167
;;;;;;;;84950.0;168
;;;;;;;;84992.0;169
;;;;;;;;84992.0;170
;;;;;;;;85071.0;171
;;;;;;;;85117.0;172
;;;;;;;;85117.0;173
;;;;;;;;85226.0;174
;;;;;;;;85246.0;175
;;;;;;;;85327.0;176
;;;;;;;;85402.0;177
;;;;;;;;85418.0;178
;;;;;;;;85503.0;179
;;;;;;;;85622.0;180
;;;;;;;;85708.0;181
;;;;;;;;85906.0;182
;;;;;;;;86045.0;183
;;;;;;;;86202.0;184
;;;;;;;;86381.0;185
;;;;;;;;86570.0;186
;;;;;;;;86783.0;187
;;;;;;;;86990.0;188
;;;;;;;;87213.0;189
;;;;;;;;87489.0;190
;;;;;;;;87655.0;191
;;;;;;;;87827.0;192
;;;;;;;;87985.0;193
;;;;;;;;88099.0;194
;;;;;;;;88206.0;195
